"","onset","onset_low","onset_high","year","offset","offset_low","offset_high","duration","scientificName","Order","id_cells","lon","lat","OS","prec","temp","bio4","bio15","pop","numObs","prec_seas","temp_seas","higher_taxon","flights","development","immature.habitat","diapause.stage","larval.diet","seas","elevation","lon_cor","lat_cor","elev_cor","hopkins_cor","hopkins_onset","mean_onset","sd_onset","seas2"
"1",233.5,233,235,2018,278.5,266,279,45,"Chauliognathus pensylvanicus","Coleoptera",2618,921923.310682897,-50719.2431067843,"Coleoptera:Chauliognathus pensylvanicus",0.866889544866413,-0.416034689892714,1036.96318847656,0.417527974843979,-0.28077364423929,-0.593002751713416,-0.700260412787261,0.79171223605839,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",235.730163808089,1250000,2325000,-8701,-15.9899999999998,217.51,221.9,8.14396504576651,"Fall"
"2",226.95,225,228.25,2019,251.55,244,260,24.6,"Chauliognathus pensylvanicus","Coleoptera",2888,646923.310682897,249280.756893216,"Coleoptera:Chauliognathus pensylvanicus",0.44291493957316,-1.10335162738224,1127.80250145923,0.584553830239965,1.29167191429098,-0.288316462293012,-0.227058810179956,1.2143355088631,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",185.010863093856,975000,2625000,-8867,-24.1299999999999,202.82,221.9,8.14396504576651,"Fall"
"3",228.7,226,232,2017,269.65,256.1,271,40.95,"Chauliognathus pensylvanicus","Coleoptera",2982,921923.310682897,349280.756893216,"Coleoptera:Chauliognathus pensylvanicus",-0.590112658326869,-0.931644259543567,1036.69757080078,0.513307105004787,-0.556259116066237,-0.694564848186884,-0.428908185427153,0.790476469210679,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",285.819693994592,1250000,2725000,-8537,-33.6299999999999,195.07,221.9,8.14396504576651,"Fall"
"4",218.5,217,220,2019,254,237.5,256,35.5,"Chauliognathus pensylvanicus","Coleoptera",2982,921923.310682897,349280.756893216,"Coleoptera:Chauliognathus pensylvanicus",-0.326272248417786,-1.16882861106128,1097.72565917969,0.398573208451271,-0.556259116066237,-0.593002751713416,-0.753961235410272,1.07440519562707,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",285.819693994592,1250000,2725000,-8537,-33.6299999999999,184.87,221.9,8.14396504576651,"Fall"
"5",216.7,216,220.5,2019,253.1,245.4,258,36.4,"Chauliognathus pensylvanicus","Coleoptera",2978,496923.310682897,374280.756893216,"Coleoptera:Chauliognathus pensylvanicus",0.171795828299497,-1.37110462572845,1175.97706665039,0.513527643978596,-0.803073705715841,-0.186754365819544,-0.428283375599978,1.43846415689587,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",297.937133738846,825000,2750000,-8497,-31.6299999999999,185.07,221.9,8.14396504576651,"Fall"
"6",219.1,218,220.55,2019,248.75,234.45,257,29.65,"Chauliognathus pensylvanicus","Coleoptera",3157,196923.310682897,599280.756893216,"Coleoptera:Chauliognathus pensylvanicus",-0.0949829398951011,-1.74611293450449,1285.56587158203,0.573447212874889,0.117152275246319,-0.491440655239948,-0.258525011171652,1.94831807236749,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",278.033933278782,525000,2975000,-8562,-37.5799999999999,181.52,221.9,8.14396504576651,"Fall"
"7",209.85,204,217,2019,257.55,237.7,258,47.7,"Chauliognathus pensylvanicus","Coleoptera",3157,221923.310682897,599280.756893216,"Coleoptera:Chauliognathus pensylvanicus",-0.0949829398951011,-1.74611293450449,1285.56587158203,0.573447212874889,0.117152275246319,-0.694564848186884,-0.258525011171652,1.94831807236749,"Coleoptera","univoltine","holometabolous","above ground","Larvae","carnivorous","Fall",278.413585929649,550000,2975000,-8561,-37.7899999999999,172.06,221.9,8.14396504576651,"Fall"
"8",60.4,55,67,2019,125.7,113.75,132,65.3,"Cicindela sexguttata","Coleoptera",1517,46923.3106828965,-1200719.24310678,"Coleoptera:Cicindela sexguttata",0.241303515518384,1.29617886464394,638.646151733398,0.827483526468277,-0.0466216523757998,-0.694564848186884,0.4611862600435,-1.06142870209889,"Coleoptera","univoltine","holometabolous","underground","Larvae","carnivorous","Spring",22.781793711777,375000,1175000,-9399,43.99,104.39,93.0138888888889,19.7757635797812,"Spring"
"9",78.5,76,81,2017,130.5,107,146,52,"Cicindela sexguttata","Coleoptera",1880,-103076.689317103,-850719.243106784,"Coleoptera:Cicindela sexguttata",-0.521884169920929,1.1262133704573,670.422730102539,0.671955108344555,1.01663505805685,-0.593002751713416,0.0205580918318074,-0.913590490778825,"Coleoptera","univoltine","holometabolous","underground","Larvae","carnivorous","Spring",186.398375462031,225000,1525000,-8863,25.8300000000001,104.33,93.0138888888889,19.7757635797812,"Spring"
"10",69.55,65,77.2,2018,142.55,119.35,151,73,"Cicindela sexguttata","Coleoptera",1880,-103076.689317103,-850719.243106784,"Coleoptera:Cicindela sexguttata",0.696473100709443,0.935299681944996,894.384936523438,0.957233635187149,1.01663505805685,-0.288316462293012,0.828781799301058,0.128377326395454,"Coleoptera","univoltine","holometabolous","underground","Larvae","carnivorous","Spring",186.398375462031,225000,1525000,-8863,25.8300000000001,95.3800000000001,93.0138888888889,19.7757635797812,"Spring"
