higher_taxon,scientificName,flights,development,immature.habitat,diapause.stage,larval.diet,references,references.1,references.2
Odonata,Pachydiplax longipennis,not univoltine,hemimetabolous,fresh water,Larvae,carnivorous,https://search.proquest.com/docview/873898214/fulltextPDF/817FDB8EF3C34FCAPQ/1?accountid=10920,http://www.migratorydragonflypartnership.org/index/identificationGuides,https://s3.amazonaws.com/academia.edu.documents/48583554/Voltinism_of_Odonata_a_review20160905-21345-1lsj6li.pdf?response-content-disposition=inline%3B%20filename%3DVoltinism_of_Odonata_a_review.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAB75FHHGK%2F20200509%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200509T134319Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjELP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA3%2B4sbOFWoJrLXgZSY9c6uR53gsGnUwsmrCtS9rSU6TAiEAyubl4nyVT3s%2Fckb1Xywp4gCYOKe4HeaTxZff53pnaH0qvQMI7P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDHye2iRH%2BfNv1fN%2BHiqRA4gAjZxcs%2Bu3%2F%2Bv5lt8dTvHAe2giaHt5DaCaJSkLzag5V4WyabZ0h1kvsLWMFznUxjnH7DN7bfCfxWTIqvCmHIk3i%2Fz8sBPa5BxjDGLplFDj2TIZUwnsSgkvBlajGsuBbN06AaNTqnR%2B24EoB9f2Q6lxy%2B5zmuD57maEe2XSWzff05xMl9lUpBbi63jfBq5HcRjFWYSrLQ8nN3eSYXRr%2BIpIa9RO2Ni3%2B%2FaeNO6uFG%2Byb0bxGcmLIzJ9mbqFLCy1S%2B3BMTAXFD57GIBSpk4PSZLiC%2Fit8fBh8qxZYBCyMgIkokiIt%2BzzE3%2Fpf6cmf2ZAuNEoYDsfDH7rKVbvPeUn75U7KsYxCagWcdR8QMtpj1xQZLn1sC3wO53%2F3mGsHmWcDmLTt9mURqpPviyMDot90mqlYFp5R9HmtOjITzc8TFy6%2Bj2M24SKWKuthOiPJr8uoKP1TorMZoUWvhNPsF6YnMJUdpRmpj35n0ecwBKTZyl0qYRPauo6t7VHY27htgNSdMvZf3ksQ6V1XtsXQvSjTJAEMPWK2vUFOusBiVJe%2FSPNuNUyJ9YKyR8dhUu8vuCmvVXvuDnwUGNW%2By0pxrqG5WhSX71TEzyf8sJugYTjee5pmyBKKHDwbQ%2BUzLARIcjUF%2FWRlz7kjAYFrQVvTiyusZT39rlQ4CgDe%2BhGr1iZhJydndiBcVJAqeO6bhpu4xo8zQt1XPIN9e23gQ5DRGagZNILOIXe9U6k%2FpbBHWS7aTTbbG2bvlQTk26SlIJzjksCzLbX7B%2FNaug8FJYRwkWLTT4WTgL2IBYMOrm1xGWgYPHkAUgdMrTjkedndd%2F89KaSg%2B1hJkhlGk9iT0HuoW5oWLrfbA7ElA%3D%3D&X-Amz-Signature=92ec99aa9ba241485039bdf1fc4ce7073260bf618c77f617e7f80630ca57cbe9
Odonata,Erythemis simplicicollis,not univoltine,hemimetabolous,fresh water,Larvae,carnivorous,https://s3.amazonaws.com/academia.edu.documents/48583554/Voltinism_of_Odonata_a_review20160905-21345-1lsj6li.pdf?response-content-disposition=inline%3B%20filename%3DVoltinism_of_Odonata_a_review.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAB75FHHGK%2F20200509%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200509T134319Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjELP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA3%2B4sbOFWoJrLXgZSY9c6uR53gsGnUwsmrCtS9rSU6TAiEAyubl4nyVT3s%2Fckb1Xywp4gCYOKe4HeaTxZff53pnaH0qvQMI7P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDHye2iRH%2BfNv1fN%2BHiqRA4gAjZxcs%2Bu3%2F%2Bv5lt8dTvHAe2giaHt5DaCaJSkLzag5V4WyabZ0h1kvsLWMFznUxjnH7DN7bfCfxWTIqvCmHIk3i%2Fz8sBPa5BxjDGLplFDj2TIZUwnsSgkvBlajGsuBbN06AaNTqnR%2B24EoB9f2Q6lxy%2B5zmuD57maEe2XSWzff05xMl9lUpBbi63jfBq5HcRjFWYSrLQ8nN3eSYXRr%2BIpIa9RO2Ni3%2B%2FaeNO6uFG%2Byb0bxGcmLIzJ9mbqFLCy1S%2B3BMTAXFD57GIBSpk4PSZLiC%2Fit8fBh8qxZYBCyMgIkokiIt%2BzzE3%2Fpf6cmf2ZAuNEoYDsfDH7rKVbvPeUn75U7KsYxCagWcdR8QMtpj1xQZLn1sC3wO53%2F3mGsHmWcDmLTt9mURqpPviyMDot90mqlYFp5R9HmtOjITzc8TFy6%2Bj2M24SKWKuthOiPJr8uoKP1TorMZoUWvhNPsF6YnMJUdpRmpj35n0ecwBKTZyl0qYRPauo6t7VHY27htgNSdMvZf3ksQ6V1XtsXQvSjTJAEMPWK2vUFOusBiVJe%2FSPNuNUyJ9YKyR8dhUu8vuCmvVXvuDnwUGNW%2By0pxrqG5WhSX71TEzyf8sJugYTjee5pmyBKKHDwbQ%2BUzLARIcjUF%2FWRlz7kjAYFrQVvTiyusZT39rlQ4CgDe%2BhGr1iZhJydndiBcVJAqeO6bhpu4xo8zQt1XPIN9e23gQ5DRGagZNILOIXe9U6k%2FpbBHWS7aTTbbG2bvlQTk26SlIJzjksCzLbX7B%2FNaug8FJYRwkWLTT4WTgL2IBYMOrm1xGWgYPHkAUgdMrTjkedndd%2F89KaSg%2B1hJkhlGk9iT0HuoW5oWLrfbA7ElA%3D%3D&X-Amz-Signature=92ec99aa9ba241485039bdf1fc4ce7073260bf618c77f617e7f80630ca57cbe9,https://www.jstor.org/stable/pdf/1939515.pdf?casa_token=LDbXsUxAuSkAAAAA:7Wglh8GDEd-GZrA_Ly9J-tYg_L-axM8HTkv3b2IrSMFAzn-5CKuXC70IuR0jl7d8KPG-TXeYZ-2A2-1MuP6YcYMwJ2y1DMx7Ps8FXZk7pNKaAHXgpw,https://search.proquest.com/docview/305419798?pq-origsite=gscholar
Odonata,Libellula luctuosa,univoltine,hemimetabolous,fresh water,Larvae,carnivorous,https://s3.amazonaws.com/academia.edu.documents/48583554/Voltinism_of_Odonata_a_review20160905-21345-1lsj6li.pdf?response-content-disposition=inline%3B%20filename%3DVoltinism_of_Odonata_a_review.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAB75FHHGK%2F20200509%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200509T134319Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjELP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA3%2B4sbOFWoJrLXgZSY9c6uR53gsGnUwsmrCtS9rSU6TAiEAyubl4nyVT3s%2Fckb1Xywp4gCYOKe4HeaTxZff53pnaH0qvQMI7P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDHye2iRH%2BfNv1fN%2BHiqRA4gAjZxcs%2Bu3%2F%2Bv5lt8dTvHAe2giaHt5DaCaJSkLzag5V4WyabZ0h1kvsLWMFznUxjnH7DN7bfCfxWTIqvCmHIk3i%2Fz8sBPa5BxjDGLplFDj2TIZUwnsSgkvBlajGsuBbN06AaNTqnR%2B24EoB9f2Q6lxy%2B5zmuD57maEe2XSWzff05xMl9lUpBbi63jfBq5HcRjFWYSrLQ8nN3eSYXRr%2BIpIa9RO2Ni3%2B%2FaeNO6uFG%2Byb0bxGcmLIzJ9mbqFLCy1S%2B3BMTAXFD57GIBSpk4PSZLiC%2Fit8fBh8qxZYBCyMgIkokiIt%2BzzE3%2Fpf6cmf2ZAuNEoYDsfDH7rKVbvPeUn75U7KsYxCagWcdR8QMtpj1xQZLn1sC3wO53%2F3mGsHmWcDmLTt9mURqpPviyMDot90mqlYFp5R9HmtOjITzc8TFy6%2Bj2M24SKWKuthOiPJr8uoKP1TorMZoUWvhNPsF6YnMJUdpRmpj35n0ecwBKTZyl0qYRPauo6t7VHY27htgNSdMvZf3ksQ6V1XtsXQvSjTJAEMPWK2vUFOusBiVJe%2FSPNuNUyJ9YKyR8dhUu8vuCmvVXvuDnwUGNW%2By0pxrqG5WhSX71TEzyf8sJugYTjee5pmyBKKHDwbQ%2BUzLARIcjUF%2FWRlz7kjAYFrQVvTiyusZT39rlQ4CgDe%2BhGr1iZhJydndiBcVJAqeO6bhpu4xo8zQt1XPIN9e23gQ5DRGagZNILOIXe9U6k%2FpbBHWS7aTTbbG2bvlQTk26SlIJzjksCzLbX7B%2FNaug8FJYRwkWLTT4WTgL2IBYMOrm1xGWgYPHkAUgdMrTjkedndd%2F89KaSg%2B1hJkhlGk9iT0HuoW5oWLrfbA7ElA%3D%3D&X-Amz-Signature=92ec99aa9ba241485039bdf1fc4ce7073260bf618c77f617e7f80630ca57cbe9,https://www.jstor.org/stable/pdf/1467827.pdf?refreqid=excelsior%3A7083def44abde8bb025f5427f0692765,
Odonata,Calopteryx maculata,univoltine,hemimetabolous,fresh water,Egg,carnivorous,https://oepos.ca.uky.edu/content/black-winged-damselfly,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107355/Calopteryx_maculata,
Odonata,Perithemis tenera,not univoltine,hemimetabolous,fresh water,Larvae,carnivorous,https://s3.amazonaws.com/academia.edu.documents/48583554/Voltinism_of_Odonata_a_review20160905-21345-1lsj6li.pdf?response-content-disposition=inline%3B%20filename%3DVoltinism_of_Odonata_a_review.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAB75FHHGK%2F20200509%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200509T134319Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjELP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA3%2B4sbOFWoJrLXgZSY9c6uR53gsGnUwsmrCtS9rSU6TAiEAyubl4nyVT3s%2Fckb1Xywp4gCYOKe4HeaTxZff53pnaH0qvQMI7P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDHye2iRH%2BfNv1fN%2BHiqRA4gAjZxcs%2Bu3%2F%2Bv5lt8dTvHAe2giaHt5DaCaJSkLzag5V4WyabZ0h1kvsLWMFznUxjnH7DN7bfCfxWTIqvCmHIk3i%2Fz8sBPa5BxjDGLplFDj2TIZUwnsSgkvBlajGsuBbN06AaNTqnR%2B24EoB9f2Q6lxy%2B5zmuD57maEe2XSWzff05xMl9lUpBbi63jfBq5HcRjFWYSrLQ8nN3eSYXRr%2BIpIa9RO2Ni3%2B%2FaeNO6uFG%2Byb0bxGcmLIzJ9mbqFLCy1S%2B3BMTAXFD57GIBSpk4PSZLiC%2Fit8fBh8qxZYBCyMgIkokiIt%2BzzE3%2Fpf6cmf2ZAuNEoYDsfDH7rKVbvPeUn75U7KsYxCagWcdR8QMtpj1xQZLn1sC3wO53%2F3mGsHmWcDmLTt9mURqpPviyMDot90mqlYFp5R9HmtOjITzc8TFy6%2Bj2M24SKWKuthOiPJr8uoKP1TorMZoUWvhNPsF6YnMJUdpRmpj35n0ecwBKTZyl0qYRPauo6t7VHY27htgNSdMvZf3ksQ6V1XtsXQvSjTJAEMPWK2vUFOusBiVJe%2FSPNuNUyJ9YKyR8dhUu8vuCmvVXvuDnwUGNW%2By0pxrqG5WhSX71TEzyf8sJugYTjee5pmyBKKHDwbQ%2BUzLARIcjUF%2FWRlz7kjAYFrQVvTiyusZT39rlQ4CgDe%2BhGr1iZhJydndiBcVJAqeO6bhpu4xo8zQt1XPIN9e23gQ5DRGagZNILOIXe9U6k%2FpbBHWS7aTTbbG2bvlQTk26SlIJzjksCzLbX7B%2FNaug8FJYRwkWLTT4WTgL2IBYMOrm1xGWgYPHkAUgdMrTjkedndd%2F89KaSg%2B1hJkhlGk9iT0HuoW5oWLrfbA7ElA%3D%3D&X-Amz-Signature=92ec99aa9ba241485039bdf1fc4ce7073260bf618c77f617e7f80630ca57cbe9,https://search.proquest.com/docview/305419798?pq-origsite=gscholar,
Odonata,Ischnura verticalis,univoltine,hemimetabolous,fresh water,Larvae,carnivorous,https://link.springer.com/article/10.1007/s10905-011-9285-5?shared-article-renderer,https://s3.amazonaws.com/academia.edu.documents/48583554/Voltinism_of_Odonata_a_review20160905-21345-1lsj6li.pdf?response-content-disposition=inline%3B%20filename%3DVoltinism_of_Odonata_a_review.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAB75FHHGK%2F20200509%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200509T134319Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjELP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA3%2B4sbOFWoJrLXgZSY9c6uR53gsGnUwsmrCtS9rSU6TAiEAyubl4nyVT3s%2Fckb1Xywp4gCYOKe4HeaTxZff53pnaH0qvQMI7P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDHye2iRH%2BfNv1fN%2BHiqRA4gAjZxcs%2Bu3%2F%2Bv5lt8dTvHAe2giaHt5DaCaJSkLzag5V4WyabZ0h1kvsLWMFznUxjnH7DN7bfCfxWTIqvCmHIk3i%2Fz8sBPa5BxjDGLplFDj2TIZUwnsSgkvBlajGsuBbN06AaNTqnR%2B24EoB9f2Q6lxy%2B5zmuD57maEe2XSWzff05xMl9lUpBbi63jfBq5HcRjFWYSrLQ8nN3eSYXRr%2BIpIa9RO2Ni3%2B%2FaeNO6uFG%2Byb0bxGcmLIzJ9mbqFLCy1S%2B3BMTAXFD57GIBSpk4PSZLiC%2Fit8fBh8qxZYBCyMgIkokiIt%2BzzE3%2Fpf6cmf2ZAuNEoYDsfDH7rKVbvPeUn75U7KsYxCagWcdR8QMtpj1xQZLn1sC3wO53%2F3mGsHmWcDmLTt9mURqpPviyMDot90mqlYFp5R9HmtOjITzc8TFy6%2Bj2M24SKWKuthOiPJr8uoKP1TorMZoUWvhNPsF6YnMJUdpRmpj35n0ecwBKTZyl0qYRPauo6t7VHY27htgNSdMvZf3ksQ6V1XtsXQvSjTJAEMPWK2vUFOusBiVJe%2FSPNuNUyJ9YKyR8dhUu8vuCmvVXvuDnwUGNW%2By0pxrqG5WhSX71TEzyf8sJugYTjee5pmyBKKHDwbQ%2BUzLARIcjUF%2FWRlz7kjAYFrQVvTiyusZT39rlQ4CgDe%2BhGr1iZhJydndiBcVJAqeO6bhpu4xo8zQt1XPIN9e23gQ5DRGagZNILOIXe9U6k%2FpbBHWS7aTTbbG2bvlQTk26SlIJzjksCzLbX7B%2FNaug8FJYRwkWLTT4WTgL2IBYMOrm1xGWgYPHkAUgdMrTjkedndd%2F89KaSg%2B1hJkhlGk9iT0HuoW5oWLrfbA7ElA%3D%3D&X-Amz-Signature=92ec99aa9ba241485039bdf1fc4ce7073260bf618c77f617e7f80630ca57cbe9,
Odonata,Ischnura posita,not univoltine,hemimetabolous,fresh water,Larvae,carnivorous,https://s3.amazonaws.com/academia.edu.documents/48583554/Voltinism_of_Odonata_a_review20160905-21345-1lsj6li.pdf?response-content-disposition=inline%3B%20filename%3DVoltinism_of_Odonata_a_review.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAB75FHHGK%2F20200509%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200509T134319Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjELP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA3%2B4sbOFWoJrLXgZSY9c6uR53gsGnUwsmrCtS9rSU6TAiEAyubl4nyVT3s%2Fckb1Xywp4gCYOKe4HeaTxZff53pnaH0qvQMI7P%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDHye2iRH%2BfNv1fN%2BHiqRA4gAjZxcs%2Bu3%2F%2Bv5lt8dTvHAe2giaHt5DaCaJSkLzag5V4WyabZ0h1kvsLWMFznUxjnH7DN7bfCfxWTIqvCmHIk3i%2Fz8sBPa5BxjDGLplFDj2TIZUwnsSgkvBlajGsuBbN06AaNTqnR%2B24EoB9f2Q6lxy%2B5zmuD57maEe2XSWzff05xMl9lUpBbi63jfBq5HcRjFWYSrLQ8nN3eSYXRr%2BIpIa9RO2Ni3%2B%2FaeNO6uFG%2Byb0bxGcmLIzJ9mbqFLCy1S%2B3BMTAXFD57GIBSpk4PSZLiC%2Fit8fBh8qxZYBCyMgIkokiIt%2BzzE3%2Fpf6cmf2ZAuNEoYDsfDH7rKVbvPeUn75U7KsYxCagWcdR8QMtpj1xQZLn1sC3wO53%2F3mGsHmWcDmLTt9mURqpPviyMDot90mqlYFp5R9HmtOjITzc8TFy6%2Bj2M24SKWKuthOiPJr8uoKP1TorMZoUWvhNPsF6YnMJUdpRmpj35n0ecwBKTZyl0qYRPauo6t7VHY27htgNSdMvZf3ksQ6V1XtsXQvSjTJAEMPWK2vUFOusBiVJe%2FSPNuNUyJ9YKyR8dhUu8vuCmvVXvuDnwUGNW%2By0pxrqG5WhSX71TEzyf8sJugYTjee5pmyBKKHDwbQ%2BUzLARIcjUF%2FWRlz7kjAYFrQVvTiyusZT39rlQ4CgDe%2BhGr1iZhJydndiBcVJAqeO6bhpu4xo8zQt1XPIN9e23gQ5DRGagZNILOIXe9U6k%2FpbBHWS7aTTbbG2bvlQTk26SlIJzjksCzLbX7B%2FNaug8FJYRwkWLTT4WTgL2IBYMOrm1xGWgYPHkAUgdMrTjkedndd%2F89KaSg%2B1hJkhlGk9iT0HuoW5oWLrfbA7ElA%3D%3D&X-Amz-Signature=92ec99aa9ba241485039bdf1fc4ce7073260bf618c77f617e7f80630ca57cbe9,https://www.tandfonline.com/doi/abs/10.1080/13887890.2008.9748324,
Odonata,Sympetrum corruptum,not univoltine,hemimetabolous,fresh water,None,carnivorous,http://www.meadowhawks.info/sympetrum-corruptum.html,http://www.migratorydragonflypartnership.org/index/about,
Odonata,Sympetrum vicinum,not univoltine,hemimetabolous,fresh water,Egg,carnivorous,https://animaldiversity.org/accounts/Sympetrum_vicinum/,http://www.migratorydragonflypartnership.org/index/identificationGuides,
Odonata,Celithemis eponina,univoltine,hemimetabolous,fresh water,Larvae,carnivorous,http://acadianes.org/journal/papers/mcalpine_17-6.pdf,https://search.proquest.com/docview/305419798/previewPDF/56FE5B4A18E1479CPQ/1?accountid=10920,https://search.proquest.com/docview/305419798/previewPDF/56FE5B4A18E1479CPQ/1?accountid=10920
